candidate,party,constituency,votes,result,sex,province,district
Govinda Panthi,Rastriya Swatantra Party,Gulmi-2,"16,967",Winner 🏆,♂ Male,Lumbini Province,Gulmi
Dambar Bahadur Singh,CPN (Unified Marxist-Leninist),Jajarkot-1,"16,883",Declared,♂ Male,Karnali Province,Jajarkot
Prithvi Subba Gurung,CPN (Unified Marxist-Leninist),Lamjung-1,"16,876",Declared,♂ Male,Gandaki Province,Lamjung
Narayan Parasad Acharya,CPN (Unified Marxist-Leninist),Palpa-1,"16,819",Declared,♂ Male,Lumbini Province,Palpa
Min Prasad Gurung,CPN (Unified Marxist-Leninist),Syangja-1,"16,804",Declared,♂ Male,Gandaki Province,Syangja
Surya Bahadur Thapa Chhetri,CPN (Unified Marxist-Leninist),Pyuthan-1,"16,710",Declared,♂ Male,Lumbini Province,Pyuthan
Dhruvaraja Raee,Shram Sanskriti Party,Bhojpur-1,"16,663",Winner 🏆,♂ Male,Koshi Province,Bhojpur
Raju Ke.si.,Nepali Congress,Rukum West-1,"16,661",Declared,♂ Male,Karnali Province,Rukum West
Dhanendra Karki,Rastriya Swatantra Party,Sindhuli-1,"16,659",Winner 🏆,♂ Male,Bagmati Province,Sindhuli
Vimalendra Nidhi,Nepali Congress,Dhanusha-3,"16,652",Declared,♂ Male,Madhesh Province,Dhanusha
Lal Bahadur Thapa,CPN (Unified Marxist-Leninist),Bajura-1,"16,633",Declared,♂ Male,Sudurpashchim Province,Bajura
Aren Rai,Shram Sanskriti Party,Khotang-1,"16,612",Winner 🏆,♂ Male,Koshi Province,Khotang
Gyanendra Bahadur Karki,Nepali Congress,Sunsari-4,"16,587",Declared,♂ Male,Koshi Province,Sunsari
Gam Prasad Gurung,Nepali Congress,Lamjung-1,"16,569",Declared,♂ Male,Gandaki Province,Lamjung
Amir Magar,Shram Sanskriti Party,Morang-3,"16,509",Declared,♂ Male,Koshi Province,Morang
Dipaka Giri,Nepali Congress,Dang-3,"16,453",Declared,♂ Male,Lumbini Province,Dang
Gokarnaraj Bista,CPN (Unified Marxist-Leninist),Gulmi-2,"16,406",Declared,♂ Male,Lumbini Province,Gulmi
Narayan Kumar Koirala,Nepali Congress,Surkhet-2,"16,392",Declared,♂ Male,Karnali Province,Surkhet
Surendra Prasad Chaudhary,Nepali Congress,Parsa-3,"16,366",Declared,♂ Male,Madhesh Province,Parsa
Ram Chandra Khadka,Nepali Congress,Ramechhap-1,"16,307",Declared,♂ Male,Bagmati Province,Ramechhap
Prakash Rasaili Snehi,Nepali Congress,Bajhang-1,"16,304",Declared,♂ Male,Sudurpashchim Province,Bajhang
Bala Krishna Ghimire,Nepali Congress,Nawalpur-1,"16,293",Declared,♂ Male,Gandaki Province,Nawalpur
Govind Bhattarai,Nepali Congress,Tanahun-1,"16,231",Declared,♂ Male,Gandaki Province,Tanahun
Rajib Koirala,Nepali Congress,Sunsari-2,"16,071",Declared,♂ Male,Koshi Province,Sunsari
Arjun Prasad Joshi,Nepali Congress,Parbat-1,"15,954",Declared,♂ Male,Gandaki Province,Parbat
Bhima Bahadura Thapa Kshetri,Nepali Congress,Parasi-2,"15,945",Declared,♂ Male,Lumbini Province,Parasi
Shera Bahadura Tamangag,CPN (Unified Marxist-Leninist),Sindhupalchok-2,"15,926",Declared,♂ Male,Bagmati Province,Sindhupalchok
Pradipa Kumara Katuvala Kshetri (ke Si),CPN (Unified Marxist-Leninist),Sindhuli-1,"15,875",Declared,♂ Male,Bagmati Province,Sindhuli
Deva Prasada Timalasena,Nepali Congress,Rautahat-4,"15,865",Declared,♂ Male,Madhesh Province,Rautahat
Ashish Sharma,Independent,Kapilvastu-1,"15,860",Declared,♂ Male,Lumbini Province,Kapilvastu
Dharmanand Joshi,Nepali Congress,Darchula-1,"15,836",Declared,♂ Male,Sudurpashchim Province,Darchula
Mahendra Yadav,Nepali Congress,Dhanusha-4,"15,809",Declared,♂ Male,Madhesh Province,Dhanusha
