candidate,party,constituency,votes,result,sex,province,district
Ramakanta Prasada Patel,Independent,Rautahat-2,6,Declared,♂ Male,Madhesh Province,Rautahat
Shyamalala Saha Teli,Independent,Rautahat-2,6,Declared,♂ Male,Madhesh Province,Rautahat
Nejama Mansuri,Independent,Rautahat-3,6,Declared,♂ Male,Madhesh Province,Rautahat
Samira Babu Karki,Independent,Rautahat-4,6,Declared,♂ Male,Madhesh Province,Rautahat
Amaresha Kumara Pande,Jana Adhikar Party,Bara-2,6,Declared,♂ Male,Madhesh Province,Bara
Jalan‍dara Mahato,Independent,Bara-2,6,Declared,♂ Male,Madhesh Province,Bara
Mukesha Prasada Kushavaha,Independent,Bara-2,6,Declared,♂ Male,Madhesh Province,Bara
Usha Budhathoki (prasaee),Independent,Bara-4,6,Declared,♀ Female,Madhesh Province,Bara
Bhekhanarayana Prasada Saha Teli,Independent,Bara-4,6,Declared,♂ Male,Madhesh Province,Bara
Mukesh Kushwaha,Nepal Workers and Peasants Party,Parsa-2,6,Declared,♂ Male,Madhesh Province,Parsa
Jainodin Miya Hawari,Independent,Parsa-3,6,Declared,♂ Male,Madhesh Province,Parsa
Nirdosh Bikram Paudel,Independent,Kaski-2,6,Declared,♂ Male,Gandaki Province,Kaski
Prem Lall Bhandari,Independent,Gulmi-1,6,Declared,♂ Male,Lumbini Province,Gulmi
Laxman Bhandari,Independent,Gulmi-1,6,Declared,♂ Male,Lumbini Province,Gulmi
Shri Khuvirama Aachary,Independent,Gulmi-2,6,Declared,♂ Male,Lumbini Province,Gulmi
Bhima Kumari Bhusal,Independent,Nawalpur-2,6,Declared,♀ Female,Gandaki Province,Nawalpur
Teka Bahadura Vi.k,Independent,Rupandehi-1,6,Declared,♂ Male,Lumbini Province,Rupandehi
Sandip Paudel,Independent,Rupandehi-2,6,Declared,♂ Male,Lumbini Province,Rupandehi
Bharat Pariyar,Independent,Dang-3,6,Declared,♂ Male,Lumbini Province,Dang
Udiram Chunara,Independent,Surkhet-2,6,Declared,♂ Male,Karnali Province,Surkhet
Kiran Thapa,Miteri Party Nepal,Kanchanpur-3,6,Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Damodara Barma Sunar,Independent,Parasi-2,6,Declared,♂ Male,Lumbini Province,Parasi
Vishnu Prasada Paudel,Independent,Parasi-2,6,Declared,♂ Male,Lumbini Province,Parasi
Surya Narayan Thakur,Independent,Morang-5,5,Declared,♂ Male,Koshi Province,Morang
Indra Dev Mahato,Independent,Siraha-1,5,Declared,♂ Male,Madhesh Province,Siraha
Nagendra Kumar Yadav,Independent,Siraha-1,5,Declared,♂ Male,Madhesh Province,Siraha
Shri Nanda Safi Dhobi,Independent,Siraha-1,5,Declared,♂ Male,Madhesh Province,Siraha
Rovina Yadav,Independent,Siraha-2,5,Declared,♂ Male,Madhesh Province,Siraha
Ramesh Kumar Yadav,Independent,Siraha-2,5,Declared,♂ Male,Madhesh Province,Siraha
Shanti Devi Yadav,Independent,Siraha-2,5,Declared,♀ Female,Madhesh Province,Siraha
Ram Pukar Kamati,Independent,Siraha-3,5,Declared,♂ Male,Madhesh Province,Siraha
Rakesh Kumar Yadav,Independent,Siraha-3,5,Declared,♂ Male,Madhesh Province,Siraha
Rima Bahadura Oli,Independent,Dolakha-1,5,Declared,♂ Male,Bagmati Province,Dolakha
Luka Dorje Sherpa,Independent,Dolakha-1,5,Declared,♂ Male,Bagmati Province,Dolakha
Sumana Thapa,Independent,Dolakha-1,5,Declared,♂ Male,Bagmati Province,Dolakha
Parikshana Yadav,Independent,Dhanusha-1,5,Declared,♂ Male,Madhesh Province,Dhanusha
Saroja Kumara Mahara,Independent,Dhanusha-2,5,Declared,♂ Male,Madhesh Province,Dhanusha
Sujita Kumara Das,Independent,Dhanusha-2,5,Declared,♂ Male,Madhesh Province,Dhanusha
Kevala Thakur,Independent,Dhanusha-3,5,Declared,♂ Male,Madhesh Province,Dhanusha
Rakesha Chaudhari,Independent,Dhanusha-4,5,Declared,♂ Male,Madhesh Province,Dhanusha
Vanvi Kumari Mahato,Independent,Dhanusha-4,5,Declared,♀ Female,Madhesh Province,Dhanusha
Hari Prasada Paudel,Independent,Dhanusha-4,5,Declared,♂ Male,Madhesh Province,Dhanusha
Lalita Kumar Musahar,Independent,Mahottari-2,5,Declared,♀ Female,Madhesh Province,Mahottari
Satya Narayan Sah,Independent,Mahottari-2,5,Declared,♂ Male,Madhesh Province,Mahottari
Pankaj Kumar Pandey,Independent,Mahottari-3,5,Declared,♂ Male,Madhesh Province,Mahottari
Suresh Kumar Sah,Independent,Mahottari-3,5,Declared,♂ Male,Madhesh Province,Mahottari
Shiva Shankar Kumar Sharma,Janata Loktantrik Party Nepal,Mahottari-4,5,Declared,♂ Male,Madhesh Province,Mahottari
Manoj Kumar Yadav,Independent,Mahottari-4,5,Declared,♂ Male,Madhesh Province,Mahottari
Ram Chandra Chamar,Independent,Sarlahi-3,5,Declared,♂ Male,Madhesh Province,Sarlahi
Ambuj Prasad Sah,Independent,Sarlahi-4,5,Declared,♂ Male,Madhesh Province,Sarlahi
Vikrama Yadav,Independent,Sarlahi-4,5,Declared,♂ Male,Madhesh Province,Sarlahi
Surendra Pandey,Samaveshi Samajwadi Party,Kathmandu-1,5,Declared,♂ Male,Bagmati Province,Kathmandu
Manju Lama,Independent,Kathmandu-2,5,Declared,♀ Female,Bagmati Province,Kathmandu
Kedar Bahadur Karki,Independent,Kathmandu-4,5,Declared,♂ Male,Bagmati Province,Kathmandu
Ramita Sapkota,Independent,Kathmandu-5,5,Declared,♀ Female,Bagmati Province,Kathmandu
Indira Thapa,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Kathmandu-6,5,Declared,♀ Female,Bagmati Province,Kathmandu
Sangam Aryal,Independent,Kathmandu-6,5,Declared,♂ Male,Bagmati Province,Kathmandu
Sujita Shrestha,Independent,Kathmandu-7,5,Declared,♀ Female,Bagmati Province,Kathmandu
Rajendra Prasad Shah,CPN (Unified),Kathmandu-8,5,Declared,♂ Male,Bagmati Province,Kathmandu
Madan Pokharel,Miteri Party Nepal,Kathmandu-9,5,Declared,♂ Male,Bagmati Province,Kathmandu
Savitri Nyaupane,Miteri Party Nepal,Bhaktapur-1,5,Declared,♀ Female,Bagmati Province,Bhaktapur
Lok Krishna Dahal,CPN (Unified),Bhaktapur-2,5,Declared,♂ Male,Bagmati Province,Bhaktapur
Rakesh Kumar Sharma,Independent,Makwanpur-1,5,Declared,♂ Male,Bagmati Province,Makwanpur
Bibeka Chaudhari,Independent,Rautahat-1,5,Declared,♂ Male,Madhesh Province,Rautahat
Ramananda Sharma,Independent,Rautahat-1,5,Declared,♂ Male,Madhesh Province,Rautahat
Radheshyama Saha Teli,Independent,Rautahat-1,5,Declared,♂ Male,Madhesh Province,Rautahat
Jahura Aalam,Independent,Rautahat-3,5,Declared,♂ Male,Madhesh Province,Rautahat
Rajendra Mahara,Independent,Rautahat-3,5,Declared,♂ Male,Madhesh Province,Rautahat
Soma Prasada Timalasina,Independent,Rautahat-4,5,Declared,♂ Male,Madhesh Province,Rautahat
Anita Kumari,Independent,Bara-2,5,Declared,♀ Female,Madhesh Province,Bara
Nagina Debi,Independent,Bara-2,5,Declared,♀ Female,Madhesh Province,Bara
Sunila Pasavan,Independent,Bara-3,5,Declared,♂ Male,Madhesh Province,Bara
Vimala Khativada,Independent,Bara-4,5,Declared,♀ Female,Madhesh Province,Bara
Pukar Thapa,Independent,Parsa-1,5,Declared,♂ Male,Madhesh Province,Parsa
M. Sajib Ali,Independent,Parsa-1,5,Declared,♂ Male,Madhesh Province,Parsa
Krishna Kumar Giri,Independent,Parsa-2,5,Declared,♂ Male,Madhesh Province,Parsa
Mahesh Mahato Dhanuk,Independent,Parsa-2,5,Declared,♂ Male,Madhesh Province,Parsa
Rabi Kumal,Independent,Chitwan-2,5,Declared,♂ Male,Bagmati Province,Chitwan
Rol Bahadur Gurung,Independent,Chitwan-3,5,Declared,♂ Male,Bagmati Province,Chitwan
Meena Nhisutu,Nepal Workers and Peasants Party,Kaski-3,5,Declared,♀ Female,Gandaki Province,Kaski
Maheshswar Ghimire,Independent,Gulmi-2,5,Declared,♂ Male,Lumbini Province,Gulmi
Gita Sapkota,Independent,Rupandehi-1,5,Declared,♀ Female,Lumbini Province,Rupandehi
Dipak Bahadur Darji,Independent,Rupandehi-3,5,Declared,♂ Male,Lumbini Province,Rupandehi
Bikram Prasad Yadav,Independent,Rupandehi-5,5,Declared,♂ Male,Lumbini Province,Rupandehi
Abdul Rahman,Independent,Kapilvastu-1,5,Declared,♂ Male,Lumbini Province,Kapilvastu
Ram Narayan Tharu,Independent,Kapilvastu-1,5,Declared,♂ Male,Lumbini Province,Kapilvastu
Krishna Chandra Pasi,Independent,Kapilvastu-2,5,Declared,♂ Male,Lumbini Province,Kapilvastu
Bhim Bahadur Lama,Mongol National Organisation,Myagdi-1,5,Declared,♂ Male,Gandaki Province,Myagdi
Pavitra Malla,आम जनता पार्टी(एकल चुनाव चिन्ह),Parbat-1,5,Declared,♀ Female,Gandaki Province,Parbat
Ganga Lal Rimal,Independent,Parbat-1,5,Declared,♂ Male,Gandaki Province,Parbat
Phul Kumari Khan,Independent,Sunsari-4,4,Declared,♀ Female,Koshi Province,Sunsari
Budheshwar Yadav,Independent,Sunsari-4,4,Declared,♂ Male,Koshi Province,Sunsari
Sanjay Kumar Chaudhary,Independent,Saptari-2,4,Declared,♂ Male,Madhesh Province,Saptari
Sahana Das,Independent,Saptari-2,4,Declared,♀ Female,Madhesh Province,Saptari
Rajiya Devi Sada,Independent,Saptari-3,4,Declared,♀ Female,Madhesh Province,Saptari
Valeshvara Dasa Tatma,Independent,Siraha-1,4,Declared,♂ Male,Madhesh Province,Siraha
Dipendara Kumar Yadav,Independent,Siraha-3,4,Declared,♂ Male,Madhesh Province,Siraha
Ramesh Chandra Sharma,Independent,Siraha-3,4,Declared,♂ Male,Madhesh Province,Siraha
Bhageshvara Das,Independent,Siraha-4,4,Declared,♂ Male,Madhesh Province,Siraha
Ranjit Kumar Yadav,Independent,Siraha-4,4,Declared,♂ Male,Madhesh Province,Siraha
Kirana Kumari Pasaman,Independent,Dhanusha-1,4,Declared,♀ Female,Madhesh Province,Dhanusha
Pavana Kumara Yadav,Independent,Dhanusha-1,4,Declared,♂ Male,Madhesh Province,Dhanusha
Laleshvara Yadav,Independent,Dhanusha-1,4,Declared,♂ Male,Madhesh Province,Dhanusha
Sumana Vish‍vakarma,Independent,Dhanusha-1,4,Declared,♂ Male,Madhesh Province,Dhanusha
Jnyana Kumara Yadab,Independent,Dhanusha-2,4,Declared,♂ Male,Madhesh Province,Dhanusha
Raju Kumara Sah,Independent,Dhanusha-3,4,Declared,♂ Male,Madhesh Province,Dhanusha
Ramasaroja Sah,Independent,Dhanusha-3,4,Declared,♂ Male,Madhesh Province,Dhanusha
Suvadara Yadav,Independent,Dhanusha-3,4,Declared,♂ Male,Madhesh Province,Dhanusha
Adhanu Pasman,Independent,Mahottari-2,4,Declared,♂ Male,Madhesh Province,Mahottari
Harishchandra Thakur,Independent,Mahottari-4,4,Declared,♂ Male,Madhesh Province,Mahottari
Umesh Kumar Raya,Independent,Sarlahi-3,4,Declared,♂ Male,Madhesh Province,Sarlahi
Lakhendra Mahato,Independent,Sarlahi-4,4,Declared,♂ Male,Madhesh Province,Sarlahi
Sanjiv Kumar Paswan,Independent,Sarlahi-4,4,Declared,♂ Male,Madhesh Province,Sarlahi
Dipaka Tamang,Independent,Dhading-1,4,Declared,♂ Male,Bagmati Province,Dhading
Dhurbaprasad Pandey,Independent,Dhading-1,4,Declared,♂ Male,Bagmati Province,Dhading
Dharmaraj Nepal,Independent,Dhading-1,4,Declared,♂ Male,Bagmati Province,Dhading
Arjun Dhungana,Independent,Kathmandu-2,4,Declared,♂ Male,Bagmati Province,Kathmandu
Rupak Bastakoti,Independent,Kathmandu-2,4,Declared,♂ Male,Bagmati Province,Kathmandu
Aman Shrestha,Independent,Kathmandu-7,4,Declared,♂ Male,Bagmati Province,Kathmandu
Puspa Baniya,Independent,Kathmandu-7,4,Declared,♂ Male,Bagmati Province,Kathmandu
Tulasha Shrestha Maharjan,Independent,Kathmandu-8,4,Declared,♀ Female,Bagmati Province,Kathmandu
Muna Neupane (Pandey),Independent,Kathmandu-8,4,Declared,♀ Female,Bagmati Province,Kathmandu
Pun Maya Maharjan,Independent,Kathmandu-9,4,Declared,♀ Female,Bagmati Province,Kathmandu
Min Badhaur Budhathoki,Independent,Kathmandu-10,4,Declared,♂ Male,Bagmati Province,Kathmandu
Keshavaraja Timalsina,Independent,Kavrepalanchok-2,4,Declared,♂ Male,Bagmati Province,Kavrepalanchok
Mahesha Kunvar,Miteri Party Nepal,Sindhupalchok-2,4,Declared,♂ Male,Bagmati Province,Sindhupalchok
Rama Naresha Raya Yadav,Independent,Rautahat-1,4,Declared,♂ Male,Madhesh Province,Rautahat
Vinda Lala Sah,Independent,Rautahat-4,4,Declared,♂ Male,Madhesh Province,Rautahat
Harihara Mukhiya Bin,Independent,Rautahat-4,4,Declared,♂ Male,Madhesh Province,Rautahat
Prayaga Prasada Chaudhari,Independent,Bara-2,4,Declared,♂ Male,Madhesh Province,Bara
Umaravati Devi Sah,Independent,Bara-3,4,Declared,♀ Female,Madhesh Province,Bara
Mukesha Kumara Rauniyar,Independent,Bara-4,4,Declared,♂ Male,Madhesh Province,Bara
Sandipa Yadav,Independent,Bara-4,4,Declared,♂ Male,Madhesh Province,Bara
Naresh Kumar Yadav,Independent,Parsa-1,4,Declared,♂ Male,Madhesh Province,Parsa
Shiva Prasad Koir,Independent,Parsa-1,4,Declared,♂ Male,Madhesh Province,Parsa
Shivashankar Prasad Rauniyar,Independent,Parsa-3,4,Declared,♂ Male,Madhesh Province,Parsa
Koraisa Khatun,Independent,Parsa-4,4,Declared,♀ Female,Madhesh Province,Parsa
Lukman Miya,Independent,Parsa-4,4,Declared,♂ Male,Madhesh Province,Parsa
Samsulhak Miya Dhuniya,Independent,Parsa-4,4,Declared,♂ Male,Madhesh Province,Parsa
Prabin Sapkota,Independent,Chitwan-2,4,Declared,♂ Male,Bagmati Province,Chitwan
Krishna Prasad Adhikari,Independent,Chitwan-3,4,Declared,♂ Male,Bagmati Province,Chitwan
Mekh Bahadur Gaha,Independent,Gulmi-1,4,Declared,♂ Male,Lumbini Province,Gulmi
Yagya Bahadur Shrestha,Independent,Gulmi-1,4,Declared,♂ Male,Lumbini Province,Gulmi
Ram Prasad Pokharel,Independent,Gulmi-2,4,Declared,♂ Male,Lumbini Province,Gulmi
Sarasswati Lamsal,Independent,Gulmi-2,4,Declared,♀ Female,Lumbini Province,Gulmi
Bel Bahadur Karki,Independent,Rupandehi-2,4,Declared,♂ Male,Lumbini Province,Rupandehi
Lal Bahadur Rana,गान्धीवादी पार्टी नेपाल,Rupandehi-3,4,Declared,♂ Male,Lumbini Province,Rupandehi
Jumrati Dhuniya Musalman,Independent,Rupandehi-3,4,Declared,♂ Male,Lumbini Province,Rupandehi
Madhav Prasad Khanal (Upadhyaya),Independent,Kapilvastu-1,4,Declared,♂ Male,Lumbini Province,Kapilvastu
Mahesh Kurmi,Independent,Kapilvastu-2,4,Declared,♂ Male,Lumbini Province,Kapilvastu
Hariram Teli,Independent,Kapilvastu-3,4,Declared,♂ Male,Lumbini Province,Kapilvastu
Bishnu Bikram Sen Oli,Independent,Dang-2,4,Declared,♂ Male,Lumbini Province,Dang
Samira Vali,Independent,Dang-2,4,Declared,♂ Male,Lumbini Province,Dang
Haddisa Ali Miya,Independent,Parasi-2,4,Declared,♂ Male,Lumbini Province,Parasi
Prakash Nepal,Independent,Jhapa-5,3,Declared,♂ Male,Koshi Province,Jhapa
Jai Narayan Sharma,Independent,Morang-5,3,Declared,♂ Male,Koshi Province,Morang
Rajan Kumar Gautam,Independent,Sunsari-3,3,Declared,♂ Male,Koshi Province,Sunsari
Kapalesh‍vari Devi Sah,Independent,Siraha-2,3,Declared,♀ Female,Madhesh Province,Siraha
Pradeep Kumar Shrestha,Independent,Siraha-3,3,Declared,♂ Male,Madhesh Province,Siraha
Rajesh‍vara Yadav,Independent,Siraha-3,3,Declared,♂ Male,Madhesh Province,Siraha
Sumit Shrestha,Independent,Siraha-3,3,Declared,♂ Male,Madhesh Province,Siraha
Kakulati Kumari Sah,Independent,Dhanusha-1,3,Declared,♀ Female,Madhesh Province,Dhanusha
Sochindara Yadav,Independent,Dhanusha-1,3,Declared,♂ Male,Madhesh Province,Dhanusha
Rama Hridaya Yadab,Independent,Dhanusha-4,3,Declared,♂ Male,Madhesh Province,Dhanusha
Sabita Kumari Devi,Independent,Mahottari-1,3,Declared,♀ Female,Madhesh Province,Mahottari
Ranjay Kumar Mishra,Independent,Mahottari-3,3,Declared,♂ Male,Madhesh Province,Mahottari
Ram Kalash,Independent,Sarlahi-1,3,Declared,♂ Male,Madhesh Province,Sarlahi
Dambar Bahadur Khadka,Independent,Sarlahi-3,3,Declared,♂ Male,Madhesh Province,Sarlahi
Pramod Bhattarai,Independent,Sarlahi-3,3,Declared,♂ Male,Madhesh Province,Sarlahi
Arbind Kumar Thakur,Independent,Sarlahi-4,3,Declared,♂ Male,Madhesh Province,Sarlahi
Dawa Mingmar Tamang,Independent,Rasuwa-1,3,Declared,♂ Male,Bagmati Province,Rasuwa
Raj Kumar Bajgain,Independent,Kathmandu-1,3,Declared,♂ Male,Bagmati Province,Kathmandu
Krishna Bahadur Khatri,Trimul Nepal,Kathmandu-2,3,Declared,♂ Male,Bagmati Province,Kathmandu
Tap Bahadur Thapa,Independent,Kathmandu-2,3,Declared,♂ Male,Bagmati Province,Kathmandu
Prava Shrestha,Independent,Kathmandu-5,3,Declared,♀ Female,Bagmati Province,Kathmandu
Ram Kumar Ghimire,Independent,Kathmandu-6,3,Declared,♂ Male,Bagmati Province,Kathmandu
Suman Putuwar Maharjan,Independent,Kathmandu-7,3,Declared,♂ Male,Bagmati Province,Kathmandu
Sabita Gamal,Independent,Kathmandu-7,3,Declared,♀ Female,Bagmati Province,Kathmandu
Om Krishna Kutu,Independent,Bhaktapur-2,3,Declared,♂ Male,Bagmati Province,Bhaktapur
Renu Shrestha,Independent,Bhaktapur-2,3,Declared,♀ Female,Bagmati Province,Bhaktapur
Kiran Maharjan,आम जनता पार्टी(एकल चुनाव चिन्ह),Lalitpur-1,3,Declared,♂ Male,Bagmati Province,Lalitpur
Bharat Dhulal,Independent,Lalitpur-1,3,Declared,♂ Male,Bagmati Province,Lalitpur
Rabiraj Paudel,Independent,Lalitpur-2,3,Declared,♂ Male,Bagmati Province,Lalitpur
Bimarsha Mishra,Independent,Lalitpur-3,3,Declared,♂ Male,Bagmati Province,Lalitpur
Een‍du Devi Gup‍ta,Independent,Rautahat-1,3,Declared,♀ Female,Madhesh Province,Rautahat
Shambhu Prasad,Independent,Rautahat-1,3,Declared,♂ Male,Madhesh Province,Rautahat
Ramajanma Prasada Yadav,Independent,Rautahat-2,3,Declared,♂ Male,Madhesh Province,Rautahat
Jitendra Prasada Bin,Independent,Rautahat-4,3,Declared,♂ Male,Madhesh Province,Rautahat
Mohana Prasada Chaulagaee,Independent,Bara-4,3,Declared,♂ Male,Madhesh Province,Bara
Anil Prasad Yadav,Independent,Parsa-1,3,Declared,♂ Male,Madhesh Province,Parsa
Abhinash Chaurasiya,Independent,Parsa-1,3,Declared,♂ Male,Madhesh Province,Parsa
Aryashashikala Raut,Independent,Parsa-1,3,Declared,♀ Female,Madhesh Province,Parsa
Dipa Kumara Barma,Independent,Parsa-1,3,Declared,♂ Male,Madhesh Province,Parsa
Bishal Kumar Pandey,Independent,Parsa-1,3,Declared,♂ Male,Madhesh Province,Parsa
Kismati Devi,Independent,Parsa-2,3,Declared,♀ Female,Madhesh Province,Parsa
Saheb Prasad Ram,Independent,Parsa-2,3,Declared,♂ Male,Madhesh Province,Parsa
Sabir Ahamad,Independent,Parsa-4,3,Declared,♂ Male,Madhesh Province,Parsa
Pratap Singh Tamang,Independent,Chitwan-2,3,Declared,♂ Male,Bagmati Province,Chitwan
Binita Awal,Nepal Workers and Peasants Party,Kaski-2,3,Declared,♀ Female,Gandaki Province,Kaski
Narendra Prasad Rijal,Independent,Gulmi-2,3,Declared,♂ Male,Lumbini Province,Gulmi
Pharsurama Kadel,Independent,Gulmi-2,3,Declared,♂ Male,Lumbini Province,Gulmi
Pampha Shrestha,Independent,Arghakhanchi-1,3,Declared,♀ Female,Lumbini Province,Arghakhanchi
Keshav Tandon,Independent,Rupandehi-2,3,Declared,♂ Male,Lumbini Province,Rupandehi
Gokul Prasad Pandey,Independent,Rupandehi-2,3,Declared,♂ Male,Lumbini Province,Rupandehi
Raj Kumar Bhattarai,Independent,Rupandehi-2,3,Declared,♂ Male,Lumbini Province,Rupandehi
Dhirendra Prasad Chaudhary,Independent,Rupandehi-5,3,Declared,♂ Male,Lumbini Province,Rupandehi
Eebrahima Pathan,Independent,Kapilvastu-2,3,Declared,♂ Male,Lumbini Province,Kapilvastu
Yam Bahadur Gurung,Mongol National Organisation,Mustang-1,3,Declared,♂ Male,Gandaki Province,Mustang
Sabitri Sharma,Independent,Parbat-1,3,Declared,♀ Female,Gandaki Province,Parbat
Radhika Kumari Karki,Miteri Party Nepal,Kailali-5,3,Declared,♀ Female,Sudurpashchim Province,Kailali
Roshani Rail,Independent,Sunsari-2,2,Declared,♀ Female,Koshi Province,Sunsari
Abhinash Kumar Singh,Independent,Saptari-2,2,Declared,♂ Male,Madhesh Province,Saptari
Oma Prakasha Vish‍vakarma,Independent,Saptari-3,2,Declared,♂ Male,Madhesh Province,Saptari
Jivachha Kumara Yadav,Independent,Siraha-3,2,Declared,♂ Male,Madhesh Province,Siraha
Jiwacha Mochi,Independent,Siraha-4,2,Declared,♂ Male,Madhesh Province,Siraha
Manoja Kumara Sah,Independent,Dhanusha-3,2,Declared,♂ Male,Madhesh Province,Dhanusha
Vinoda Karn,Independent,Dhanusha-3,2,Declared,♂ Male,Madhesh Province,Dhanusha
Chandan Rajbanshi,Independent,Sarlahi-3,2,Declared,♂ Male,Madhesh Province,Sarlahi
Arjun Prasad Aryal,Independent,Dhading-1,2,Declared,♂ Male,Bagmati Province,Dhading
Raj Kumar Limbu,Miteri Party Nepal,Kathmandu-1,2,Declared,♂ Male,Bagmati Province,Kathmandu
Kamal Subedi,आम जनता पार्टी(एकल चुनाव चिन्ह),Kathmandu-1,2,Declared,♂ Male,Bagmati Province,Kathmandu
Kiran Shah,Independent,Kathmandu-1,2,Declared,♂ Male,Bagmati Province,Kathmandu
Ramesh Prasad Joshi,Independent,Kathmandu-1,2,Declared,♂ Male,Bagmati Province,Kathmandu
Sita Tiwari,Independent,Kathmandu-2,2,Declared,♀ Female,Bagmati Province,Kathmandu
Prem Chhiri Sherpa,National Republic Nepal,Kathmandu-3,2,Declared,♂ Male,Bagmati Province,Kathmandu
Rup Sagar Devi,आम जनता पार्टी(एकल चुनाव चिन्ह),Kathmandu-3,2,Declared,♀ Female,Bagmati Province,Kathmandu
Pradipa Kaphle,Independent,Kathmandu-3,2,Declared,♂ Male,Bagmati Province,Kathmandu
Ashish Shrestha,Independent,Kathmandu-4,2,Declared,♂ Male,Bagmati Province,Kathmandu
Madhu Sudan Sharma,Independent,Kathmandu-9,2,Declared,♂ Male,Bagmati Province,Kathmandu
Nabin Kumar Mahat,Independent,Bhaktapur-2,2,Declared,♂ Male,Bagmati Province,Bhaktapur
Lakshmi Bastola Paudel,Independent,Bhaktapur-2,2,Declared,♀ Female,Bagmati Province,Bhaktapur
Tilak Bahadur Bholan,Independent,Lalitpur-1,2,Declared,♂ Male,Bagmati Province,Lalitpur
