province,district,districtNp,code,name,nameNp,status,lastUpdated,votesCast,totalVoters
Lumbini,Rupandehi,रूपन्देही,5-रूपन्देही-2,Rupandehi-2,रूपन्देही क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,84013,135042
Lumbini,Rupandehi,रूपन्देही,5-रूपन्देही-3,Rupandehi-3,रूपन्देही क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,89414,140027
Lumbini,Rupandehi,रूपन्देही,5-रूपन्देही-4,Rupandehi-4,रूपन्देही क्षेत्र नं. 4,DECLARED,2026-06-30T21:28:05.771Z,72038,116168
Lumbini,Rupandehi,रूपन्देही,5-रूपन्देही-5,Rupandehi-5,रूपन्देही क्षेत्र नं. 5,DECLARED,2026-06-30T21:28:05.771Z,78825,134426
Lumbini,Kapilvastu,कपिलबस्तु,5-कपिलबस्तु-1,Kapilvastu-1,कपिलबस्तु क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,85161,147649
Lumbini,Kapilvastu,कपिलबस्तु,5-कपिलबस्तु-2,Kapilvastu-2,कपिलबस्तु क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,80075,130184
Lumbini,Kapilvastu,कपिलबस्तु,5-कपिलबस्तु-3,Kapilvastu-3,कपिलबस्तु क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,69184,118385
Gandaki,Mustang,मुस्ताङ,4-मुस्ताङ-1,Mustang-1,मुस्ताङ क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,6281,11325
Gandaki,Myagdi,म्याग्दी,4-म्याग्दी-1,Myagdi-1,म्याग्दी क्षेत्र नं. 1,COUNTING,2026-06-30T21:28:05.771Z,43160,86394
Gandaki,Baglung,बाग्लुङ,4-बाग्लुङ-1,Baglung-1,बाग्लुङ क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,47061,98031
Gandaki,Baglung,बाग्लुङ,4-बाग्लुङ-2,Baglung-2,बाग्लुङ क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,44626,95312
